Name rus, Name eng,DOB,Gender,Description,Tag
Абдуллина Лариса Хашимовна,Abdullina Larisa Khashimovna,,Female,"Editor-in-Chief of the magazine ""Akbuzat"" (owned by the Press and Mass Media Agency for the Republic of Bashkortostan)","Propagandists
Regional press"
Абдулмуслимов Абдулмуслим Мухудинович,Abdulmuslimov Abdulmuslim Mukhaudinovich,01.04.1960,male,"Chairman of the Government Republic of Dagestan. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Абдулов Александр Саликович,Abdulov Aleksandr Salikovich,,Male,"Director and Editor-in-Chief of the newspaper ""Mari El"" (owned by the Government of the Mari El Republic)","Propagandists
Regional press"
Абидокова Люсана Алиевна,Abidokova Liusana Alievna,,Female,"Editor-in-Chief of the newspaper ""Cherkes kheku"" (owned by the Government and People's Assembly of the Karachay-Cherkess Republic)","Propagandists
Regional press"
Абисов Юрий Николаевич,Abisov Yuri Nikolaevich,27.11.1967,Male,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Абрамченко Виктория Валериевна,Abramchenko Victoria Valerievna,22.05.1975,female,"Deputy Prime Minister of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.

Head of еhe Federal Service for State Registration, Cadastre and Cartography (Rosreestr) in the status of Deputy Minister of Economic Development. Received an expensive preferential apartment in Moscow.","Senior Federal Officials
Executive branch and presidential administration employees

Individuals involved in corruption
Investigations subjects"
Абрамов Александр Григорьевич,Abramov Alexander Grigorievich,20.02.1959,male,"Russian oligarch. Amid the war, he remains involved in the system of Russian political corruption, in which capital is an instrument for acquiring political influence, and political influence is a condition for preserving capital, at the highest level.","Individuals involved in corruption
Oligarchs"
Абрамов Иван Николаевич,Abramov Ivan Nikolaevich,16.06.1978,male,"Member of the Federation Council of the Federal Assembly of the Russian Federation (upper house of the federal parliament). This state body is responsible for the political and legal support of the aggressive war against Ukraine, which included issuing permission for the use of Russian military forces outside the territory of Russia.","Members of Parliament and Senate
Federation Council"
Абрамов Павел Владимирович,Abramov Pavel Vladimirovich,18.04.1976,Male,"Deputy Head of the Federal Agency for Youth Affairs of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Абрамов Р. Е.,Abramov R. E.,,male,Investigator for Particularly important cases of the first investigation department of Particularly important cases of the Investigation Department of the Investigative Committee of the Russian Federation for the Kurgan Oblast. Involved in the fabrication of the “FBK case”,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Абрамов Сергей Васильевич,Abramov Sergey Vasilievich,29.01.1957,male,Chairman of the Magadan Oblast Duma (head of the regional parliament). Actively supports Russia's aggressive war against Ukraine and the Russian authoritarian political regime.,"Key Local Government Officials 
Speakers of the regional legislative assemblies"
Абрамова Екатерина Валерьевна,Abramova Ekaterina Valeryevna,17.12.1970,female,"Russian propagandist: deputy chair of Intergovernmental Television and Radio Company ""Mir""; director of channels Mir and Mir-24","Propagandists
Federal media employees"
Абрамова Елена Викторовна,Abramova Elena Viktorovna,25.03.1967,Female,"Deputy Head of the Federal Agency for State Reserves of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Абрамович Роман Аркадьевич,Abramovich Roman Arkadievich,24.10.1966,male,"Russian oligarch. Amid the war, he remains involved in the system of Russian political corruption, in which capital is an instrument for acquiring political influence, and political influence is a condition for preserving capital, at the highest level.

Roman Abramovich is a Russian oligarch who has long and close ties to Vladimir Putin. He has had privileged access to the president, and has maintained very good relations with him. This connection with the Russian leader helped him maintain his considerable wealth. He is a major shareholder of the steel group Evraz, which is one of Russia’s largest taxpayers. He has therefore been benefitting from Russian decision-makers responsible for the annexation of Crimea and the destabilisation of Ukraine. He is also one of the leading Russian businesspersons involved in economic sectors providing a substantial source of revenue to the Government of the Russian Federation, which is responsible for the annexation of Crimea and the destabilisation of Ukraine.

Involved in corruption schemes of PJSC Gazprom and its subsidiaries. Participated in the formation of corrupt sources of income for Vladimir Putin and his closest associates.","Individuals involved in corruption
Oligarchs

Individuals involved in corruption
Investigations subjects"
АБРОСИМОВ НИКОЛАЙ ИГОРЕВИЧ,ABROSIMOV NIKOLAY IGOREVICH,,Male,"CEO, LIMITED LIABILITY COMPANY ""TV-KOLYMA-PLUS"". Involved in Russian propaganda of the war against Ukraine.",Chief editors and management of regional TV channels
Абулхатин Марат Сисенович,Abulkhatin Marat Sisenovich,02.01.1955,male,Russian propagandist: deputy editor-in-chief of TASS information agency,"Propagandists
Federal media"
Адамов Евгений Георгиевич,Adamov Evgeny Georgievich,07.08.1959,male,"Deputy Governor of Khanty–Mansi Autonomous Okrug — Yugra. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Адельфинская Ольга Валерьевна,Adelfinskaya Olga Valerievna,20.05.1974,female,"Member of the General Council of the United Russia party. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.","“United Russia” party Functionaries 
Federal and regional party leaders"
Адлыков Сергей Иванович,Adlykov Sergei Ivanovich,,Male,"Editor-in-Chief of the newspaper ""Zvezda Altaia"" (owned by the Government of the Republic of Altai)","Propagandists
Regional press"
Адырбаев Мурат Шакенович,Adyrbaev Murat Shakenovich,25.12.1943,male,Member of the Legislative Assembly of the Omsk Oblast,Regional investigations subjects
Афанасенко Елена Григорьевна,Afanasenko Elena Grigoryevna,05.12.1962,Female,"Deputy Head of the Federal Service for Regulation of the Alcohol Market of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Афанасьев Сергей Владимирович,Afanasev Sergei Vladimirovich,,Male,"Editor-in-Chief of the newspaper ""Kurskaia pravda"" (owned by the government of the Kursk region)","Propagandists
Regional press"
АФАНАСЬЕВ ВЯЧЕСЛАВ НИКОЛАЕВИЧ,AFANASIEV VYACHESLAV NIKOLAEVICH,-,Male,"
CEO LIMITED LIABILITY COMPANY ""TV RADIO COMPANY ""RYAZAN"". Involved in Russian propaganda of the war against Ukraine.",Chief editors and management of regional TV channels
Афанасов Геннадий Алексеевич,Afanasov Gennady Alekseevich,03.07.1957,Male,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Афанасов Михаил Александрович,Afanasov Mikhail Alexandrovich,15.06.1953,male,"Member of the Federation Council of the Federal Assembly of the Russian Federation (upper house of the federal parliament). This state body is responsible for the political and legal support of the aggressive war against Ukraine, which included issuing permission for the use of Russian military forces outside the territory of Russia.","Members of Parliament and Senate
Federation Council"
Афанасьев Алексей Евгеньевич,Afanasyev Alexey Evgenievich,15.06.1975,male,"First Deputy Governor of Kostroma Oblast. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Афанасьев Денис Александрович,Afanasyev Denis Alexandrovich,08.06.1975,male,"Deputy Chairman of the Government of Astrakhan Oblast. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Афанасьев Дмитрий Владимирович,Afanasyev Dmitry Vladimirovich,16.06.1963,Male,"Deputy Minister of Science and Higher Education of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Афанасьева Елена Владимировна,Afanasyeva Elena Vladimirovna,27.03.1975,female,"Member of the Federation Council of the Federal Assembly of the Russian Federation (upper house of the federal parliament). This state body is responsible for the political and legal support of the aggressive war against Ukraine, which included issuing permission for the use of Russian military forces outside the territory of Russia.","Members of Parliament and Senate
Federation Council"
Афанасьева Елена Ивановна,Afanasyeva Yelena (Elena) Ivanovna,24.07.1965,female,Russian propagandist: director of creative planning and internet broadcasting on Channel One Russia,"Propagandists
Federal media"
Афасижев З. Ю.,Afasizhev Z. Yu.,,male,Investigator of the Perovsky Interdistrict Investigation Department of the Investigation Department for the Higher Administrative District of the Main Investigative Directorate of the Investigative Committee of the Russian Federation for Moscow. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia.,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Афонин Юрий Вячеславович,Afonin Yury Vyacheslavovich,22.03.1977,male,Member of the State Duma of the Russian Federation. This state body is responsible for political and legal support of the aggressive war against Ukraine.,"Members of Parliament and Senate
State Duma"
Агабекян Раиса Левоновна,Agabekyan Raisa Levonovna,22.10.1955,female,Rector of Academy of Marketing and Social-Information Technology. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
Агаев Бекхан Вахаевич,Agaev Bekhan Vakhaevich,29.03.1975,male,Member of the State Duma of the Russian Federation. This state body is responsible for political and legal support of the aggressive war against Ukraine.,"Members of Parliament and Senate
State Duma"
Агафонов Вадим Евгеньевич,Agafonov Vadim Evgenevich,17.03.1963,male,"Businessman, monopolist in the field of waste processing, former deputy of the City Duma of Nizhny Novgorod from the United Russia party, defendant in the Panama dossier",Regional investigations subjects
Агафонова Ирина Витальевна,Agafonova Irina Vitalevna,02.07.1971,female,"Deputy Governor of Bryansk Oblast - Deputy Chairman of the Government of Bryansk Oblast. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Агафонова Любовь Викторовна,Agafonova Lyubov Viktorovna,18.10.1960,Female,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Агафонова Наталья Николаевна,Agafonova Natalia Nikolaevna,28.05.1955,female,Rector of the West Ural Institute of Economics and Law. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
Агаларов Араз Искендер оглы,Agalarov Araz Iskender,08.11.1955,male,"Russian oligarch. Amid the war, he remains involved in the system of Russian political corruption, in which capital is an instrument for acquiring political influence, and political influence is a condition for preserving capital, at the highest level.","Individuals involved in corruption
Oligarchs"
Агарков Олег Павлович,Agarkov Oleg Pavlovich,07.07.1960,male,"Head of the Main Directorate of the Ministry of Interior of Russia for the Rostov Oblast, a federal state body that carries out political persecution in the territory under its jurisdiction against citizens and organizations that oppose Russia's aggressive war against Ukraine and are in opposition to the current political regime in Russia.","Key ‘siloviki’ (security forces) figure
Ministry of Internal Affairs"
Агеев Александр Иванович,Ageev Alexander Ivanovich,12.07.1962,male,"Member of the Izborsk Club, which unites the ideologists of modern Russian authoritarianism and the war in Ukraine","Warmongers
Ideologists of war"
Агибалов Александр Владимирович,Agibalov Alexander Vladimirovich,20.08.1964,male,Rector of the Voronezh State Agrarian University. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
Агиней Руслан Викторович,Aginey Ruslan Viktorovich,17.09.1975,male,Rector of the Ukhta State Technical University. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
Аграрова Елена Александровна,Agrarova Elena Alexandrovna,,female,Judge of the Moscow City Court. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia.,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Агуреев Евгений Юрьевич,Agureev Evgeny Yurievich,1978,male,Member of the collegial executive body of PJSC ALROSA.,Top Management of State Owned Companies
Агузаров Мурат Кимович,Aguzarov Murat Kimovich,14.06.1963,male,"First Deputy Chairman of the Government Republic of North Ossetia–Alania. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Айбатов Раис Рамильевич,Aibatov Rais Ramilevich,24.04.1963,male,"Head of the Directorate of the Federal Service of the National Guard Troops of the Russian Federation for the Tomsk Oblast. Heads special military units in the territory under his jurisdiction, which carried out the dispersal of peaceful protests against the Russian invasion of Ukraine and the political regime in Russia.","Key ‘siloviki’ (security forces) figure
National Guard of Russia"
Айдуллин Иван Ухливанович,Aidullin Ivan Ukhlivanovich,13.03.1951,Male,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Айгистов Александр Анатольевич,Aigistov Alexander Anatolievich,–,male,"President of the Russian Municipal Academy. Signed an open letter of cultural figures expressing ""support for the decision of the President of Russia to launch a military operation to denazify Ukraine and protect the republics of Donbass"".","Warmongers
Artists
"
Аиткулова Эльвира Ринатовна,Aitkulova Elvira Rinatovna,19.08.1973,male,Member of the State Duma of the Russian Federation. This state body is responsible for political and legal support of the aggressive war against Ukraine.,"Members of Parliament and Senate
State Duma"
Аюпова Ирада Хафизяновна,Aiupova Irada Khafizianovna,13.07.1971,female,"The Minister of Culture of the Republic of Tatarstan, a member of the United Russia party, used her official position by closing the state museum to hold her daughter's wedding",Regional investigations subjects
Акатьев Антон Николаевич,Akatiev Anton Nikolaevich,,Male,Head of the Legal Department of the Social Insurance Fund of the Russian Federation,"State Bankers
Heads of public funds "
Акчурин Александр Ростамович,Akchurin Alexander Rostamovich,14.08.1982,male,Chairman of the Election Commission of the Republic of Buryatia. Head of the state body responsible for supporting the existing political regime in Russia through electoral fraud.,"Election fraud organizers
Heads of the Central Election Commission and local election commissions"
Акентьева Инесса Геннадьевна,Akenteva Inessa Gennadevna,,Female,"Editor-in-Chief of the newspaper ""Nash Krasnoiarskii krai"" (owned by the Government of the Krasnoyarsk Territory)","Propagandists
Regional press"
Ахкубеков Ахкубек Халибдеевич,Akhkubekov Akhkubek Khalibdeyevich,,male,"Former FSB officer. Involved in corruption schemes of PJSC Gazprom and its subsidiaries. Former director of Sergey Tregub's Vladenie V, which is the registered owner and manager of multiple luxury real estate properties for the benefit of Alexey Miller, marina Yentaltseva and other Gazprom managers and their families. Director and owner of 80% in Recreational Systems (the other 20% is owned by Vadim Tregub) that owns Ydyp and Katun eco-hotels in the Altai Republic. Participated in corrupt schemes to plunder Yukos assets.",Individuals involved in corruption Investigations subjects
АХМАДОВ ЧИНГИЗ ЯВУСОВИЧ,Akhmadov Chingiz Yavusovich,-,Male,"
Director, STATE BUDGETARY INSTITUTION ""CHECHEN STATE TV AND RADIO COMPANY ""GROZNY"". Involved in Russian propaganda of the war against Ukraine.",Chief editors and management of regional TV channels
Ахмадов Мохмад Исаевич,Akhmadov Mohmad Isaevich,17.04.1972,male,"Member of the Federation Council of the Federal Assembly of the Russian Federation (upper house of the federal parliament). This state body is responsible for the political and legal support of the aggressive war against Ukraine, which included issuing permission for the use of Russian military forces outside the territory of Russia.","Members of Parliament and Senate
Federation Council"
Ахмедов Фархад Теймур оглы,Akhmedov Farhad Teymur,15.09.1955,male,"Russian oligarch. Amid the war, he remains involved in the system of Russian political corruption, in which capital is an instrument for acquiring political influence, and political influence is a condition for preserving capital, at the highest level.","Individuals involved in corruption
Oligarchs"
Ахмедов Мурад Магомедович,Akhmedov Murad Magomedovich,,Male,"Director and Editor-in-Chief of the magazine ""Galmagiedesh"" (owned by the Agency of Information and Press of the Republic of Dagestan)","Propagandists
Regional press"
Ахмедова Марина Магомеднебиевна,Akhmedova Marina Magomednebievna,1977,Female,Deputy Editor-in-Chief of the Russian Reporter magazine,"Propagandists 
Federal media"
Ахмеева Эльмира Ахтямовна,Akhmeeva Elmira Akhtyamovna,30.01.1983,female,"Deputy Prime Minister of the Komi Republic - Minister of Economic Development and Industry of the Komi Republic. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Ахметчин Ринат Вячеславович,Akhmetchin Rinat Viacheslavovich,21.04.1965,male,"Former mayor of Norilsk (Krasnoyarsky Krai). Accused of illegal privatization of municipal property, negligence, which led to an environmental disaster",Regional investigations subjects
Ахметов Султан Меджидович,Akhmetov Sultan Majidovich,10.03.1957,male,"Rector of the Kuban State University of Physical Culture, Sport and Tourism. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.","Warmongers
Educators"
Ахметшин Айрат Саетович,Akhmetshin Airat Saetovich,18.01.1973,male,Head of the Investigation Directorate of the Investigative Committee of the Russian Federation for the Nizhny Novgorod Oblast. Head of the federal state body responsible for criminal prosecution (on the territory under its jurisdiction) of citizens of the Russian Federation who oppose the Russian invasion of Ukraine and the current political regime in the Russia.,"Key ‘siloviki’ (security forces) figure
Investigative Committee of Russia "
Ахметшин Равиль Калимуллович,Akhmetshin Ravil Calimulovich,23.04.1960,male,"Deputy Prime Minister of the Republic of Tatarstan. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Ахпашева Анна Вячеславовна,Akhpasheva Anna Vyacheslavovna,25.03.1984,Female,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Акимов Александр Константинович,Akimov Alexander Konstantinovich,10.11.1954,male,"Member of the Federation Council of the Federal Assembly of the Russian Federation (upper house of the federal parliament). This state body is responsible for the political and legal support of the aggressive war against Ukraine, which included issuing permission for the use of Russian military forces outside the territory of Russia.","Members of Parliament and Senate
Federation Council"
Акимов Андрей Игоревич,Akimov Andrey Igorevich,22.09.1953,male,"Member of the Board of Directors of PJSC Gazprom
Member of the Board of Directors of JSC ROSNEFTEGAZ

Deputy Chairman of the Board of Directors of JSC Gazprombank
Chairman of the Management Board, JSC Gazprombank",Top Management of State Owned Companies
Акимов Максим Алексеевич,Akimov Maxim Alekseevich,01.03.1970,male,"Member of the Supreme Council of the United Russia party. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.

Member of the Board of Directors of OJSC Russian Post","“United Russia” party Functionaries 
Federal and regional party leaders

Top Management of State Owned Companies"
Акимова Ирина Леонидовна,Akimova Irina Leonidovna,29.08.1974,female,Chairman of the Election Commission of the Altai Krai. Head of the state body responsible for supporting the existing political regime in Russia through electoral fraud.,"Election fraud organizers
Heads of the Central Election Commission and local election commissions"
Акимова Вера Викторовна,Akimova Vera Viktorovna,,female,Magistrate of section No. 321 of the Yuzhnoye Medvedkovo district of Moscow. Found Alexei Navalny guilty on a trumped-up case.,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Акинфеев Игорь Владимирович,Akinfeev Igor Vladimirovich,08.04.1986,Male,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Акиньшин Юрий Алексеевич,Akinshin Yuri Alekseevich,08.11.1969,Male,"Deputy Head of the Federal Service for Natural Management of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Акопов Петр ,Akopov Petr ,07.10.1968,male,Russian propagandist: columnist at RIA Novosti,"Propagandists
Federal media employees"
Аксаков Анатолий Геннадьевич,Aksakov Anatoly Gennadievich,28.11.1957,male,Member of the State Duma of the Russian Federation. This state body is responsible for political and legal support of the aggressive war against Ukraine.,"Members of Parliament and Senate
State Duma"
Аксенов Сергей Валерьевич,Aksenov Sergey Valerievich,26.11.1972,male,"Member of the General Council, the Supreme Council and the Bureau of the Supreme Council of the United Russia party. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.""","“United Russia” party Functionaries 
Federal and regional party leaders"
Аксиев Д. Т.,Aksiev D. T.,,male,"Senior investigator of the 8th department of the SC for the ROPD of the Main Investigative Directorate of the Main Directorate of the Ministry of Internal Affairs of Russia for the city of Moscow, Major of Justice. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia.","Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Аксёненко Александр Сергеевич,Aksyonenko Alexander Sergeevich,08.03.1986,male,Member of the State Duma of the Russian Federation. This state body is responsible for political and legal support of the aggressive war against Ukraine.,"Members of Parliament and Senate
State Duma"
Аксёнов Сергей Валерьевич,Aksyonov Sergey Valeryevich ,26.11.1972,male,"Head of the Republic of Crimea. Manages a regional state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Region Heads
Governors"
Аксютин Олег Евгеньевич,Aksyutin Oleg Evgenyevich,05.05.1967,male,Member of PJSC Gazprom's collegial executive body,Top Management of State Owned Companies
Акулинин Андрей Юрьевич,Akulinin Andrey Yurievich,12.12.1964,male,"Head of the Directorate of the Federal Security Service of Russia for the Samara Oblast, a federal state body that carries out political persecution in the territory under its jurisdiction against citizens and organizations that oppose Russia's aggressive war against Ukraine and are in opposition to the current political regime in Russia.","Key ‘siloviki’ (security forces) figure
Federal Security Services
"
Акулов Михаил Павлович,Akulov Mikhail Pavlovich,,male,First Deputy General Director for Economics and Finance of PJSC Russian Railways  (PAO RZhD),Top Management of State Owned Companies
Аль Моханнади Хамад Рашид,Al Mohannadi Hamad Rashid,-,male,Member of the Board of Directors of PJSC Rosneft Oil Company,Top Management of State Owned Companies
Алай Владимир Анатольевич,Alay Vladimir Anatolievich,05.12.1960,male,"Head of the Directorate of the Ministry of Interior of Russia for the Ryazan Oblast, a federal state body that carries out political persecution in the territory under its jurisdiction against citizens and organizations that oppose Russia's aggressive war against Ukraine and are in opposition to the current political regime in Russia.","Key ‘siloviki’ (security forces) figure
Ministry of Internal Affairs"
Албакова Фатима Юсуповна,Albakova Fatima Yusupovna,09.09.1957,female,Rector of the Ingush State University. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
Альбеков Адам Умарович,Albekov Adam Umarovich,28.07.1954,male,Rector of Rostov State University of Economics (RINH). Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
Албычев Александр Сергеевич,Albychev Alexander Sergeevich,01.08.1977,Male,"Deputy Head of the Federal Treasury of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.

Deputy Head of the Federal Treasury, former Director of the Department of Informatization of the Tyumen Oblast, one of the organizers of the ""IT cartel""","Senior Federal Officials
Executive branch and presidential administration employees

Regional investigations subjects"
АЛЬДИЕВА БЕЛЛА ТАМЕРЛАНОВНА,ALDIEVA BELLA TAMERLANOVNA,-,Female,"Acting Director, STATE AUTONOMOUS INSTITUTION OF THE REPUBLIC OF INGUSHETIA ""NATIONAL TV AND RADIO COMPANY ""INGUSHETIA"". Involved in Russian propaganda of the war against Ukraine.

Head of department of state property management, NATIONAL TV AND RADIO COMPANY ""INGUSHETIA"". Involved in Russian propaganda of the war against Ukraine.",Chief editors and management of regional TV channels
Авдонин Алексей Владимирович,ALEDININ ALEXEY Vladimirovich,15.10.1959,Male,"Deputy Head of the Federal Agency for State Reserves of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Алейник Станислав Николаевич,Aleinik Stanislav Nikolaevich,10.06.1975,male,Rector of the Belgorod State Agrarian University named after V.Ya.. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
Алейников Владимир Николаевич,Aleinikov Vladimir Nikolaevich,30.07.1960,male,"Member of the General Council of the United Russia party. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.","“United Russia” party Functionaries 
Federal and regional party leaders"
